Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Tiny Archibald,PG,6-1,150,Boston Celtics,Eastern All-Star Fan Vote Selection,1970 Rnd 2 Pick 2,United States
Larry Bird,SF,6-9,220,Boston Celtics,Eastern All-Star Fan Vote Selection,1978 Rnd 1 Pick 6,United States
Julius Erving,SF,6-6,200,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1972 Rnd 1 Pick 12,United States
Artis Gilmore,C,7-2,240,Chicago Bulls,Eastern All-Star Fan Vote Selection,1971 Rnd 7 Pick 15,United States
Bobby Jones,SF,6-9,210,Philadelphia Sixers,Eastern All-Star Coaches Selection,1974 Rnd 1 Pick 5,United States
Bob Lanier,C,6-11,250,Milwaukee Bucks,Eastern All-Star Coaches Selection,1970 Rnd 1 Pick 1,United States
Sidney Moncrief,SG,6-3,180,Milwaukee Bucks,Eastern All-Star Coaches Selection,1979 Rnd 1 Pick 5,United States
Robert Parish,C,7-0,230,Boston Celtics,Eastern All-Star Coaches Selection,1976 Rnd 1 Pick 8,United States
Micheal Ray Richardson,PG,6-5,189,New York Knicks,Eastern All-Star Coaches Selection,1978 Rnd 1 Pick 4,United States
Dan Roundfield,PF,6-8,205,Atlanta Hawks,Eastern All-Star Coaches Selection,1975 Rnd 2 Pick 10,United States
Isiah Thomas,PG,6-1,180,Detroit Pistons,Eastern All-Star Fan Vote Selection,1981 Rnd 1 Pick 2,United States
Kelly Tripucka,SF,6-6,220,Detroit Pistons,Eastern All-Star Coaches Selection,1981 Rnd 1 Pick 12,United States
Buck Williams,PF,6-8,215,New Jersey Nets,Eastern All-Star Coaches Selection,1981 Rnd 1 Pick 3,United States
