Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Larry Bird,SF,6-9,220,Boston Celtics,Eastern All-Star Fan Vote Selection,1978 Rnd 1 Pick 6,United States
Terry Cummings,PF,6-9,220,Milwaukee Bucks,Eastern All-Star Coaches Selection,1982 Rnd 1 Pick 2,United States
Julius Erving,SF,6-6,200,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1972 Rnd 1 Pick 12,United States
Dennis Johnson,PG,6-4,185,Boston Celtics,Eastern All-Star Coaches Selection,1976 Rnd 2 Pick 12,United States
Michael Jordan,SG,6-6,215,Chicago Bulls,Eastern All-Star Fan Vote Selection,1984 Rnd 1 Pick 3,United States
Bernard King,SF,6-7,205,New York Knicks,Eastern All-Star Coaches Selection,1977 Rnd 1 Pick 7,United States
Bill Laimbeer,C,6-11,245,Detroit Pistons,Eastern All-Star Coaches Selection,1979 Rnd 3 Pick 21,United States
Moses Malone,C,6-10,215,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,"1975 NBA Draft, Undrafted",United States
Sidney Moncrief,SG,6-3,180,Milwaukee Bucks,Eastern All-Star Coaches Selection,1979 Rnd 1 Pick 5,United States
Robert Parish,C,7-0,230,Boston Celtics,Eastern All-Star Coaches Selection,1976 Rnd 1 Pick 8,United States
Micheal Ray Richardson,PG,6-5,189,New Jersey Nets,Eastern All-Star Coaches Selection,1978 Rnd 1 Pick 4,United States
Isiah Thomas,PG,6-1,180,Detroit Pistons,Eastern All-Star Fan Vote Selection,1981 Rnd 1 Pick 2,United States
