Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Charles Barkley,PF,6-6,252,Philadelphia Sixers,Eastern All-Star Coaches Selection,1984 Rnd 1 Pick 5,United States
Larry Bird,SF,6-9,220,Boston Celtics,Eastern All-Star Fan Vote Selection,1978 Rnd 1 Pick 6,United States
Mo Cheeks,PG,6-1,180,Philadelphia Sixers,Eastern All-Star Coaches Selection,1978 Rnd 2 Pick 14,United States
Julius Erving,SF,6-6,200,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1972 Rnd 1 Pick 12,United States
Michael Jordan,SG,6-6,215,Chicago Bulls,Eastern All-Star Fan Vote Selection,1984 Rnd 1 Pick 3,United States
Bill Laimbeer,C,6-11,245,Detroit Pistons,Eastern All-Star Coaches Selection,1979 Rnd 3 Pick 21,United States
Jeff Malone,SG,6-4,205,Washington Bullets,Eastern All-Star Coaches Selection,1983 Rnd 1 Pick 10,United States
Moses Malone,C,6-10,215,Washington Bullets,Eastern All-Star Fan Vote Selection,"1975 NBA Draft, Undrafted",United States
Kevin McHale,PF,6-10,210,Boston Celtics,Eastern All-Star Coaches Selection,1980 Rnd 1 Pick 3,United States
Robert Parish,C,7-0,230,Boston Celtics,Eastern All-Star Coaches Selection,1976 Rnd 1 Pick 8,United States
Isiah Thomas,PG,6-1,180,Detroit Pistons,Eastern All-Star Coaches Selection,1981 Rnd 1 Pick 2,United States
Dominique Wilkins,SF,6-7,200,Atlanta Hawks,Eastern All-Star Fan Vote Selection,1982 Rnd 1 Pick 3,United States
