Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Charles Barkley,PF,6-6,252,Philadelphia Sixers,Eastern All-Star Fan Vote Selection,1984 Rnd 1 Pick 5,United States
Larry Bird,SF,6-9,220,Boston Celtics,Eastern All-Star Fan Vote Selection,1978 Rnd 1 Pick 6,United States
Brad Daugherty,C,7-0,245,Cleveland Cavaliers,Eastern All-Star Coaches Selection,1986 Rnd 1 Pick 1,United States
Joe Dumars,SG,6-3,190,Detroit Pistons,Eastern All-Star Coaches Selection,1985 Rnd 1 Pick 18,United States
Patrick Ewing,C,7-0,240,New York Knicks,Eastern All-Star Fan Vote Selection,1985 Rnd 1 Pick 1,United States Jamaica
Hersey Hawkins,SG,6-3,190,Philadelphia Sixers,Eastern All-Star Replacement Selection,1988 Rnd 1 Pick 6,United States
Michael Jordan,SG,6-6,215,Chicago Bulls,Eastern All-Star Fan Vote Selection,1984 Rnd 1 Pick 3,United States
Bernard King,SF,6-7,205,Washington Bullets,Eastern All-Star Coaches Selection,1977 Rnd 1 Pick 7,United States
Kevin McHale,PF,6-10,210,Boston Celtics,Eastern All-Star Coaches Selection,1980 Rnd 1 Pick 3,United States
Robert Parish,C,7-0,230,Boston Celtics,Eastern All-Star Coaches Selection,1976 Rnd 1 Pick 8,United States
Ricky Pierce,SG,6-4,205,Milwaukee Bucks,Eastern All-Star Coaches Selection,1982 Rnd 1 Pick 18,United States
Alvin Robertson,SG,6-3,185,Milwaukee Bucks,Eastern All-Star Coaches Selection,1984 Rnd 1 Pick 7,United States
Isiah Thomas,PG,6-1,180,Detroit Pistons,Eastern All-Star Fan Vote Selection,1981 Rnd 1 Pick 2,United States
Dominique Wilkins,SF,6-7,200,Atlanta Hawks,Eastern All-Star Coaches Selection,1982 Rnd 1 Pick 3,United States
