Player,Pos,HT,WT,Team,Selection Type,NBA Draft Status,Nationality
Brad Daugherty,C,7-0,245,Cleveland Cavaliers,Eastern All-Star Coaches Selection,1986 Rnd 1 Pick 1,United States
Joe Dumars,SG,6-3,190,Detroit Pistons,Eastern All-Star Coaches Selection,1985 Rnd 1 Pick 18,United States
Patrick Ewing,C,7-0,240,New York Knicks,Eastern All-Star Coaches Selection,1985 Rnd 1 Pick 1,United States Jamaica
Larry Johnson,F,6-6,250,Charlotte Hornets,Eastern All-Star Fan Vote Selection,1991 Rnd 1 Pick 1,United States
Michael Jordan,SG,6-6,215,Chicago Bulls,Eastern All-Star Fan Vote Selection,1984 Rnd 1 Pick 3,United States
Larry Nance,PF,6-10,205,Cleveland Cavaliers,Eastern All-Star Coaches Selection,1981 Rnd 1 Pick 20,United States
Shaquille O'Neal,C,7-1,325,Orlando Magic,Eastern All-Star Fan Vote Selection,1992 Rnd 1 Pick 1,United States
Scottie Pippen,SF,6-8,228,Chicago Bulls,Eastern All-Star Fan Vote Selection,1987 Rnd 1 Pick 5,United States
Mark Price,PG,6-0,170,Cleveland Cavaliers,Eastern All-Star Coaches Selection,1986 Rnd 2 Pick 1,United States
Detlef Schrempf,SF,6-9,214,Indiana Pacers,Eastern All-Star Coaches Selection,1985 Rnd 1 Pick 8,Germany United States
Isiah Thomas,PG,6-1,180,Detroit Pistons,Eastern All-Star Fan Vote Selection,1981 Rnd 1 Pick 2,United States
Dominique Wilkins,SF,6-7,200,Atlanta Hawks,Eastern All-Star Coaches Selection,1982 Rnd 1 Pick 3,United States
