Player,Position,Weight,Team,Nationality,Game_Year,Region,Selection_Type,Height_Feet,Height_Inch,Height_In_Inches,NBA_Draft_Year,NBA_Draft_Round,NBA_Draft_Pick
Tiny Archibald,PG,150,Boston Celtics,United States,1980,East,Coaches,6,1,73,1970,2,2
Larry Bird,SF,220,Boston Celtics,United States,1980,East,Coaches,6,9,81,1978,1,6
Bill Cartwright,C,245,New York Knicks,United States,1980,East,Coaches,7,1,85,1979,1,3
Dave Cowens,FC,230,Boston Celtics,United States,1980,East,Coaches,6,9,81,1970,1,4
John Drew,GF,205,Atlanta Hawks,United States,1980,East,Fans,6,6,78,1974,2,7
Julius Erving,SF,200,Philadelphia Sixers,United States,1980,East,Fans,6,6,78,1972,1,12
George Gervin,GF,180,San Antonio Spurs,United States,1980,East,Fans,6,7,79,1974,3,4
Elvin Hayes,FC,235,Washington Bullets,United States,1980,East,Coaches,6,9,81,1968,1,1
"Eddie Johnson, Jr.",G,180,Atlanta Hawks,United States,1980,East,Fans,6,2,74,1977,3,5
Moses Malone,C,215,Houston Rockets,United States,1980,East,Fans,6,10,82,-,-,-
Micheal Ray Richardson,PG,189,New York Knicks,United States,1980,East,Coaches,6,5,77,1978,1,4
Dan Roundfield,PF,205,Atlanta Hawks,United States,1980,East,Coaches,6,8,80,1975,2,10
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1980,West,Fans,7,2,86,1969,1,1
Otis Birdsong,GF,190,Kansas City Kings,United States,1980,West,Coaches,6,3,75,1977,1,2
Adrian Dantley,SF,208,Utah Jazz,United States,1980,West,Fans,6,5,77,1976,1,6
Walter Davis,GF,193,Phoenix Suns,United States,1980,West,Coaches,6,6,78,1977,1,5
World B. Free,G,185,San Diego Clippers,United States,1980,West,Fans,6,2,74,1975,2,5
Dennis Johnson,PG,185,Seattle SuperSonics,United States,1980,West,Coaches,6,4,76,1976,2,12
Magic Johnson,PG,255,Los Angeles Lakers,United States,1980,West,Fans,6,9,81,1979,1,1
Marques Johnson,GF,218,Milwaukee Bucks,United States,1980,West,Fans,6,7,79,1977,1,3
