Player,Position,Weight,Team,Nationality,Year,Region,Selection_Type,Height_Feet,Height_Inch,Height_In_Inches,NBA_Draft_Year,NBA_Draft_Round,NBA_Draft_Pick
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1989,West,Replacement,7,2,86,1969.0,1.0,1.0
Tom Chambers,PF,220,Phoenix Suns,United States,1989,West,Coaches,6,10,82,1981.0,1.0,8.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1989,West,Coaches,6,7,79,1983.0,1.0,14.0
Kevin Duckworth,C,275,Portland Trail Blazers,United States,1989,West,Coaches,7,0,84,1986.0,2.0,9.0
Mark Eaton,C,275,Utah Jazz,United States,1989,West,Coaches,7,4,88,1979.0,5.0,19.0
Dale Ellis,GF,205,Seattle SuperSonics,United States,1989,West,Fans,6,7,79,1983.0,1.0,9.0
Alex English,SF,190,Denver Nuggets,United States,1989,West,Fans,6,7,79,1976.0,2.0,6.0
Magic Johnson,PG,255,Los Angeles Lakers,United States,1989,West,Fans,6,9,81,1979.0,1.0,1.0
Karl Malone,PF,265,Utah Jazz,United States,1989,West,Fans,6,9,81,1985.0,1.0,13.0
Chris Mullin,SF,215,Golden State Warriors,United States,1989,West,Coaches,6,7,79,1985.0,1.0,7.0
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1989,West,Fans,7,0,84,1984.0,1.0,1.0
John Stockton,PG,170,Utah Jazz,United States,1989,West,Coaches,6,1,73,1984.0,1.0,16.0
James Worthy,SF,225,Los Angeles Lakers,United States,1989,West,Coaches,6,9,81,1982.0,1.0,1.0
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1989,Western,Replacement,7,2,86,1969.0,1.0,1.0
Tom Chambers,PF,220,Phoenix Suns,United States,1989,West,Coaches,6,10,82,1981.0,1.0,8.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1989,West,Coaches,6,7,79,1983.0,1.0,14.0
Kevin Duckworth,C,275,Portland Trail Blazers,United States,1989,West,Coaches,7,0,84,1986.0,2.0,9.0
Mark Eaton,C,275,Utah Jazz,United States,1989,West,Coaches,7,4,88,1979.0,5.0,19.0
Dale Ellis,GF,205,Seattle SuperSonics,United States,1989,West,Fans,6,7,79,1983.0,1.0,9.0
Alex English,SF,190,Denver Nuggets,United States,1989,West,Fans,6,7,79,1976.0,2.0,6.0
Magic Johnson,PG,255,Los Angeles Lakers,United States,1989,West,Fans,6,9,81,1979.0,1.0,1.0
Karl Malone,PF,265,Utah Jazz,United States,1989,West,Fans,6,9,81,1985.0,1.0,13.0
Chris Mullin,SF,215,Golden State Warriors,United States,1989,West,Coaches,6,7,79,1985.0,1.0,7.0
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1989,West,Fans,7,0,84,1984.0,1.0,1.0
John Stockton,PG,170,Utah Jazz,United States,1989,West,Coaches,6,1,73,1984.0,1.0,16.0
James Worthy,SF,225,Los Angeles Lakers,United States,1989,West,Coaches,6,9,81,1982.0,1.0,1.0
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1989,Western,Replacement,7,2,86,1969.0,1.0,1.0
Tom Chambers,PF,220,Phoenix Suns,United States,1989,West,Coaches,6,10,82,1981.0,1.0,8.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1989,West,Coaches,6,7,79,1983.0,1.0,14.0
Kevin Duckworth,C,275,Portland Trail Blazers,United States,1989,West,Coaches,7,0,84,1986.0,2.0,9.0
Mark Eaton,C,275,Utah Jazz,United States,1989,West,Coaches,7,4,88,1979.0,5.0,19.0
Dale Ellis,GF,205,Seattle SuperSonics,United States,1989,West,Fans,6,7,79,1983.0,1.0,9.0
Alex English,SF,190,Denver Nuggets,United States,1989,West,Fans,6,7,79,1976.0,2.0,6.0
Magic Johnson,PG,255,Los Angeles Lakers,United States,1989,West,Fans,6,9,81,1979.0,1.0,1.0
Karl Malone,PF,265,Utah Jazz,United States,1989,West,Fans,6,9,81,1985.0,1.0,13.0
Chris Mullin,SF,215,Golden State Warriors,United States,1989,West,Coaches,6,7,79,1985.0,1.0,7.0
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1989,West,Fans,7,0,84,1984.0,1.0,1.0
John Stockton,PG,170,Utah Jazz,United States,1989,West,Coaches,6,1,73,1984.0,1.0,16.0
James Worthy,SF,225,Los Angeles Lakers,United States,1989,West,Coaches,6,9,81,1982.0,1.0,1.0
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1989,Western,Replacement,7,2,86,1969.0,1.0,1.0
Tom Chambers,PF,220,Phoenix Suns,United States,1989,West,Coaches,6,10,82,1981.0,1.0,8.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1989,West,Coaches,6,7,79,1983.0,1.0,14.0
Kevin Duckworth,C,275,Portland Trail Blazers,United States,1989,West,Coaches,7,0,84,1986.0,2.0,9.0
Mark Eaton,C,275,Utah Jazz,United States,1989,West,Coaches,7,4,88,1979.0,5.0,19.0
Dale Ellis,GF,205,Seattle SuperSonics,United States,1989,West,Fans,6,7,79,1983.0,1.0,9.0
Alex English,SF,190,Denver Nuggets,United States,1989,West,Fans,6,7,79,1976.0,2.0,6.0
Magic Johnson,PG,255,Los Angeles Lakers,United States,1989,West,Fans,6,9,81,1979.0,1.0,1.0
Karl Malone,PF,265,Utah Jazz,United States,1989,West,Fans,6,9,81,1985.0,1.0,13.0
Chris Mullin,SF,215,Golden State Warriors,United States,1989,West,Coaches,6,7,79,1985.0,1.0,7.0
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1989,West,Fans,7,0,84,1984.0,1.0,1.0
John Stockton,PG,170,Utah Jazz,United States,1989,West,Coaches,6,1,73,1984.0,1.0,16.0
James Worthy,SF,225,Los Angeles Lakers,United States,1989,West,Coaches,6,9,81,1982.0,1.0,1.0
Kareem Abdul-Jabbar,C,225,Los Angeles Lakers,United States,1989,Western,Replacement,7,2,86,1969.0,1.0,1.0
Tom Chambers,PF,220,Phoenix Suns,United States,1989,West,Coaches,6,10,82,1981.0,1.0,8.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1989,West,Coaches,6,7,79,1983.0,1.0,14.0
Kevin Duckworth,C,275,Portland Trail Blazers,United States,1989,West,Coaches,7,0,84,1986.0,2.0,9.0
Mark Eaton,C,275,Utah Jazz,United States,1989,West,Coaches,7,4,88,1979.0,5.0,19.0
Dale Ellis,GF,205,Seattle SuperSonics,United States,1989,West,Fans,6,7,79,1983.0,1.0,9.0
Alex English,SF,190,Denver Nuggets,United States,1989,West,Fans,6,7,79,1976.0,2.0,6.0
Magic Johnson,PG,255,Los Angeles Lakers,United States,1989,West,Fans,6,9,81,1979.0,1.0,1.0
Karl Malone,PF,265,Utah Jazz,United States,1989,West,Fans,6,9,81,1985.0,1.0,13.0
Chris Mullin,SF,215,Golden State Warriors,United States,1989,West,Coaches,6,7,79,1985.0,1.0,7.0
Hakeem Olajuwon,C,255,Houston Rockets,Nigeria United States,1989,West,Fans,7,0,84,1984.0,1.0,1.0
John Stockton,PG,170,Utah Jazz,United States,1989,West,Coaches,6,1,73,1984.0,1.0,16.0
James Worthy,SF,225,Los Angeles Lakers,United States,1989,West,Coaches,6,9,81,1982.0,1.0,1.0
A.C. Green,PF,220,Los Angeles Lakers,United States,1990,West,Fans,6,9,81,1985.0,1.0,23.0
Adrian Dantley,SF,208,Utah Jazz,United States,1980,West,Fans,6,5,77,1976.0,1.0,6.0
Adrian Dantley,SF,208,Utah Jazz,United States,1981,West,Fans,6,5,77,1976.0,1.0,6.0
Adrian Dantley,SF,208,Utah Jazz,United States,1982,West,Fans,6,5,77,1976.0,1.0,6.0
Adrian Dantley,SF,208,Utah Jazz,United States,1984,West,Fans,6,5,77,1976.0,1.0,6.0
Adrian Dantley,SF,208,Utah Jazz,United States,1985,West,Fans,6,5,77,1976.0,1.0,6.0
Adrian Dantley,SF,208,Utah Jazz,United States,1986,West,Coaches,6,5,77,1976.0,1.0,6.0
Al Horford,FC,240,Atlanta Hawks,Dominican Republic United States,2010,East,Coaches,6,9,81,2007.0,1.0,3.0
Alex English,SF,190,Denver Nuggets,United States,1982,West,Coaches,6,7,79,1976.0,2.0,6.0
Alex English,SF,190,Denver Nuggets,United States,1983,West,Fans,6,7,79,1976.0,2.0,6.0
Alex English,SF,190,Denver Nuggets,United States,1984,West,Fans,6,7,79,1976.0,2.0,6.0
Alex English,SF,190,Denver Nuggets,United States,1985,West,Coaches,6,7,79,1976.0,2.0,6.0
Alex English,SF,190,Denver Nuggets,United States,1986,West,Coaches,6,7,79,1976.0,2.0,6.0
Alex English,SF,190,Denver Nuggets,United States,1987,West,Coaches,6,7,79,1976.0,2.0,6.0
Alex English,SF,190,Denver Nuggets,United States,1988,West,Fans,6,7,79,1976.0,2.0,6.0
Alex English,SF,190,Denver Nuggets,United States,1989,West,Fans,6,7,79,1976.0,2.0,6.0
Allan Houston,G,205,New York Knicks,United States,2000,East,Coaches,6,6,78,1993.0,1.0,11.0
Allan Houston,G,205,New York Knicks,United States,2001,East,Coaches,6,6,78,1993.0,1.0,11.0
Allen Iverson,G,165,Denver Nuggets,United States,2007,West,Coaches,6,0,72,1996.0,1.0,1.0
Allen Iverson,G,165,Denver Nuggets,United States,2008,West,Fans,6,0,72,1996.0,1.0,1.0
Allen Iverson,G,165,Detroit Pistons,United States,2009,East,Fans,6,0,72,1996.0,1.0,1.0
Allen Iverson,G,165,Philadelphia Sixers,United States,2000,East,Fans,6,0,72,1996.0,1.0,1.0
Allen Iverson,G,165,Philadelphia Sixers,United States,2001,East,Fans,6,0,72,1996.0,1.0,1.0
Allen Iverson,G,165,Philadelphia Sixers,United States,2002,East,Fans,6,0,72,1996.0,1.0,1.0
Allen Iverson,G,165,Philadelphia Sixers,United States,2003,East,Fans,6,0,72,1996.0,1.0,1.0
Allen Iverson,G,165,Philadelphia Sixers,United States,2004,East,Fans,6,0,72,1996.0,1.0,1.0
Allen Iverson,G,165,Philadelphia Sixers,United States,2005,East,Fans,6,0,72,1996.0,1.0,1.0
Allen Iverson,G,165,Philadelphia Sixers,United States,2006,East,Fans,6,0,72,1996.0,1.0,1.0
Allen Iverson,G,165,Philadelphia Sixers,United States,2010,East,Fans,6,0,72,1996.0,1.0,1.0
Alonzo Mourning,C,240,Charlotte Hornets,United States,1994,East,Coaches,6,10,82,1992.0,1.0,2.0
Alonzo Mourning,C,240,Charlotte Hornets,United States,1995,East,Coaches,6,10,82,1992.0,1.0,2.0
Alonzo Mourning,C,240,Miami Heat,United States,1996,East,Coaches,6,10,82,1992.0,1.0,2.0
Alonzo Mourning,C,240,Miami Heat,United States,1997,East,Coaches,6,10,82,1992.0,1.0,2.0
Alonzo Mourning,C,240,Miami Heat,United States,2000,East,Fans,6,10,82,1992.0,1.0,2.0
Alonzo Mourning,C,240,Miami Heat,United States,2001,East,Fans,6,10,82,1992.0,1.0,2.0
Alonzo Mourning,C,240,Miami Heat,United States,2002,East,Coaches,6,10,82,1992.0,1.0,2.0
Alvin Robertson,SG,185,Milwaukee Bucks,United States,1991,East,Coaches,6,3,75,1984.0,1.0,7.0
Alvin Robertson,SG,185,San Antonio Spurs,United States,1986,West,Fans,6,3,75,1984.0,1.0,7.0
Alvin Robertson,SG,185,San Antonio Spurs,United States,1987,West,Fans,6,3,75,1984.0,1.0,7.0
Alvin Robertson,SG,185,San Antonio Spurs,United States,1988,West,Coaches,6,3,75,1984.0,1.0,7.0
Amar'e Stoudemire,FC,245,Phoenix Suns,United States,2005,West,Coaches,6,10,82,2002.0,1.0,9.0
Amar'e Stoudemire,FC,245,Phoenix Suns,United States,2007,West,Coaches,6,10,82,2002.0,1.0,9.0
Amar'e Stoudemire,FC,245,Phoenix Suns,United States,2008,West,Coaches,6,10,82,2002.0,1.0,9.0
Amar'e Stoudemire,FC,245,Phoenix Suns,United States,2009,West,Fans,6,10,82,2002.0,1.0,9.0
Amar'e Stoudemire,FC,245,Phoenix Suns,United States,2010,West,Fans,6,10,82,2002.0,1.0,9.0
Andrei Kirilenko,PF,235,Utah Jazz,Russia,2004,West,Coaches,6,9,81,1999.0,1.0,24.0
Andrew Toney,G,178,Philadelphia Sixers,United States,1983,East,Coaches,6,3,75,1980.0,1.0,8.0
Andrew Toney,G,178,Philadelphia Sixers,United States,1984,East,Coaches,6,3,75,1980.0,1.0,8.0
Antawn Jamison,F,235,Washington Wizards,United States,2005,East,Coaches,6,9,81,1998.0,1.0,4.0
Antawn Jamison,F,235,Washington Wizards,United States,2008,East,Coaches,6,9,81,1998.0,1.0,4.0
Anthony Mason,PF,250,Miami Heat,United States,2001,East,Coaches,6,7,79,1988.0,3.0,3.0
Antoine Walker,F,265,Boston Celtics,United States,1998,East,Coaches,6,9,81,1996.0,1.0,6.0
Antoine Walker,F,265,Boston Celtics,United States,2002,East,Fans,6,9,81,1996.0,1.0,6.0
Antoine Walker,F,265,Boston Celtics,United States,2003,East,Coaches,6,9,81,1996.0,1.0,6.0
Antonio Davis,FC,245,Toronto Raptors,United States,2001,Eastern,Replacement,6,9,81,1990.0,2.0,18.0
Antonio McDyess,F,245,Denver Nuggets,United States,2001,West,Coaches,6,9,81,1995.0,1.0,2.0
Artis Gilmore,C,240,Chicago Bulls,United States,1981,East,Fans,7,2,86,1971.0,7.0,15.0
Artis Gilmore,C,240,Chicago Bulls,United States,1982,East,Fans,7,2,86,1971.0,7.0,15.0
Artis Gilmore,C,240,San Antonio Spurs,United States,1983,West,Coaches,7,2,86,1971.0,7.0,15.0
Artis Gilmore,C,240,San Antonio Spurs,United States,1986,West,Coaches,7,2,86,1971.0,7.0,15.0
B.J. Armstrong,G,175,Chicago Bulls,United States,1994,East,Fans,6,2,74,1989.0,1.0,18.0
Baron Davis,G,215,Charlotte Hornets,United States,2002,Eastern,Replacement,6,3,75,1999.0,1.0,3.0
Baron Davis,G,215,New Orleans Hornets,United States,2004,East,Coaches,6,3,75,1999.0,1.0,3.0
Bernard King,SF,205,Golden State Warriors,United States,1982,West,Coaches,6,7,79,1977.0,1.0,7.0
Bernard King,SF,205,New York Knicks,United States,1984,East,Coaches,6,7,79,1977.0,1.0,7.0
Bernard King,SF,205,New York Knicks,United States,1985,East,Coaches,6,7,79,1977.0,1.0,7.0
Bernard King,SF,205,Washington Bullets,United States,1991,East,Coaches,6,7,79,1977.0,1.0,7.0
Bill Cartwright,C,245,New York Knicks,United States,1980,East,Coaches,7,1,85,1979.0,1.0,3.0
Bill Laimbeer,C,245,Detroit Pistons,United States,1983,East,Coaches,6,11,83,1979.0,3.0,21.0
Bill Laimbeer,C,245,Detroit Pistons,United States,1984,Eastern,Replacement,6,11,83,1979.0,3.0,21.0
Bill Laimbeer,C,245,Detroit Pistons,United States,1985,East,Coaches,6,11,83,1979.0,3.0,21.0
Bill Laimbeer,C,245,Detroit Pistons,United States,1987,East,Coaches,6,11,83,1979.0,3.0,21.0
Bob Lanier,C,250,Milwaukee Bucks,United States,1982,East,Coaches,6,11,83,1970.0,1.0,1.0
Bobby Jones,SF,210,Philadelphia Sixers,United States,1981,East,Coaches,6,9,81,1974.0,1.0,5.0
Bobby Jones,SF,210,Philadelphia Sixers,United States,1982,East,Coaches,6,9,81,1974.0,1.0,5.0
Brad Daugherty,C,245,Cleveland Cavaliers,United States,1988,East,Coaches,7,0,84,1986.0,1.0,1.0
Brad Daugherty,C,245,Cleveland Cavaliers,United States,1989,East,Coaches,7,0,84,1986.0,1.0,1.0
Brad Daugherty,C,245,Cleveland Cavaliers,United States,1991,East,Coaches,7,0,84,1986.0,1.0,1.0
Brad Daugherty,C,245,Cleveland Cavaliers,United States,1992,East,Coaches,7,0,84,1986.0,1.0,1.0
Brad Daugherty,C,245,Cleveland Cavaliers,United States,1993,East,Coaches,7,0,84,1986.0,1.0,1.0
Brandon Roy,G,211,Portland Trail Blazers,United States,2008,West,Coaches,6,6,78,2006.0,1.0,6.0
Brandon Roy,G,211,Portland Trail Blazers,United States,2009,West,Coaches,6,6,78,2006.0,1.0,6.0
Brandon Roy,G,211,Portland Trail Blazers,United States,2010,West,Coaches,6,6,78,2006.0,1.0,6.0
Buck Williams,PF,215,New Jersey Nets,United States,1982,East,Coaches,6,8,80,1981.0,1.0,3.0
Buck Williams,PF,215,New Jersey Nets,United States,1983,East,Coaches,6,8,80,1981.0,1.0,3.0
Buck Williams,PF,215,New Jersey Nets,United States,1986,East,Coaches,6,8,80,1981.0,1.0,3.0
Calvin Natt,F,220,Denver Nuggets,United States,1985,West,Coaches,6,6,78,1979.0,1.0,8.0
Carlos Boozer,PF,266,Utah Jazz,Germany United States,2007,West,Coaches,6,9,81,2002.0,2.0,6.0
Carlos Boozer,PF,266,Utah Jazz,Germany United States,2008,West,Coaches,6,9,81,2002.0,2.0,6.0
Carmelo Anthony,F,240,Denver Nuggets,United States,2007,Western,Replacement,6,8,80,2003.0,1.0,3.0
Carmelo Anthony,F,240,Denver Nuggets,United States,2008,West,Fans,6,8,80,2003.0,1.0,3.0
Carmelo Anthony,F,240,Denver Nuggets,United States,2010,West,Fans,6,8,80,2003.0,1.0,3.0
Caron Butler,SF,228,Washington Wizards,United States,2007,East,Coaches,6,7,79,2002.0,1.0,10.0
Caron Butler,SF,228,Washington Wizards,United States,2008,East,Coaches,6,7,79,2002.0,1.0,10.0
Cedric Ceballos,SF,190,Los Angeles Lakers,United States,1995,West,Coaches,6,6,78,1990.0,2.0,21.0
Charles Barkley,PF,252,Houston Rockets,United States,1997,West,Fans,6,6,78,1984.0,1.0,5.0
Charles Barkley,PF,252,Philadelphia Sixers,United States,1987,East,Coaches,6,6,78,1984.0,1.0,5.0
Charles Barkley,PF,252,Philadelphia Sixers,United States,1988,East,Coaches,6,6,78,1984.0,1.0,5.0
Charles Barkley,PF,252,Philadelphia Sixers,United States,1989,East,Fans,6,6,78,1984.0,1.0,5.0
Charles Barkley,PF,252,Philadelphia Sixers,United States,1990,East,Fans,6,6,78,1984.0,1.0,5.0
Charles Barkley,PF,252,Philadelphia Sixers,United States,1991,East,Fans,6,6,78,1984.0,1.0,5.0
Charles Barkley,PF,252,Philadelphia Sixers,United States,1992,East,Fans,6,6,78,1984.0,1.0,5.0
Charles Barkley,PF,252,Phoenix Suns,United States,1993,West,Fans,6,6,78,1984.0,1.0,5.0
Charles Barkley,PF,252,Phoenix Suns,United States,1994,West,Fans,6,6,78,1984.0,1.0,5.0
Charles Barkley,PF,252,Phoenix Suns,United States,1995,West,Fans,6,6,78,1984.0,1.0,5.0
Charles Barkley,PF,252,Phoenix Suns,United States,1996,West,Fans,6,6,78,1984.0,1.0,5.0
Charles Oakley,PF,225,New York Knicks,United States,1994,East,Coaches,6,8,80,1985.0,1.0,9.0
Chauncey Billups,G,210,Denver Nuggets,United States,2009,West,Coaches,6,3,75,1997.0,1.0,3.0
Chauncey Billups,G,210,Denver Nuggets,United States,2010,Western,Replacement,6,3,75,1997.0,1.0,3.0
Chauncey Billups,G,210,Detroit Pistons,United States,2006,East,Coaches,6,3,75,1997.0,1.0,3.0
Chauncey Billups,G,210,Detroit Pistons,United States,2007,East,Coaches,6,3,75,1997.0,1.0,3.0
Chauncey Billups,G,210,Detroit Pistons,United States,2008,East,Coaches,6,3,75,1997.0,1.0,3.0
Chris Bosh,PF,235,Toronto Raptors,United States,2006,East,Coaches,6,11,83,2003.0,1.0,4.0
Chris Bosh,PF,235,Toronto Raptors,United States,2007,East,Fans,6,11,83,2003.0,1.0,4.0
Chris Bosh,PF,235,Toronto Raptors,United States,2008,East,Coaches,6,11,83,2003.0,1.0,4.0
Chris Bosh,PF,235,Toronto Raptors,United States,2009,East,Coaches,6,11,83,2003.0,1.0,4.0
Chris Bosh,PF,235,Toronto Raptors,United States,2010,East,Coaches,6,11,83,2003.0,1.0,4.0
Chris Gatling,PF,220,Dallas Mavericks,United States,1997,Western,Replacement,6,10,82,1991.0,1.0,16.0
Chris Kaman,C,265,Los Angeles Clippers,United States Germany,2010,Western,Replacement,7,0,84,2003.0,1.0,6.0
Chris Mullin,SF,215,Golden State Warriors,United States,1989,West,Coaches,6,7,79,1985.0,1.0,7.0
Chris Mullin,SF,215,Golden State Warriors,United States,1990,West,Coaches,6,7,79,1985.0,1.0,7.0
Chris Mullin,SF,215,Golden State Warriors,United States,1991,West,Fans,6,7,79,1985.0,1.0,7.0
Chris Mullin,SF,215,Golden State Warriors,United States,1992,West,Fans,6,7,79,1985.0,1.0,7.0
Chris Mullin,SF,215,Golden State Warriors,United States,1993,West,Coaches,6,7,79,1985.0,1.0,7.0
Chris Paul,PG,175,New Orleans Hornets,United States,2008,West,Coaches,6,0,72,2005.0,1.0,4.0
Chris Paul,PG,175,New Orleans Hornets,United States,2009,West,Fans,6,0,72,2005.0,1.0,4.0
Chris Paul,PG,175,New Orleans Hornets,United States,2010,West,Coaches,6,0,72,2005.0,1.0,4.0
Chris Webber,F-C,245,Sacramento Kings,United States,2000,West,Coaches,6,9,81,1993.0,1.0,1.0
Chris Webber,F-C,245,Sacramento Kings,United States,2001,West,Fans,6,9,81,1993.0,1.0,1.0
Chris Webber,F-C,245,Sacramento Kings,United States,2002,West,Coaches,6,9,81,1993.0,1.0,1.0
Chris Webber,F-C,245,Sacramento Kings,United States,2003,West,Coaches,6,9,81,1993.0,1.0,1.0
Chris Webber,F-C,245,Washington Bullets,United States,1997,Eastern,Replacement,6,9,81,1993.0,1.0,1.0
Christian Laettner,PF,245,Atlanta Hawks,United States,1997,East,Coaches,6,11,83,1992.0,1.0,3.0
Cliff Robinson,PF,225,Portland Trail Blazers,United States,1994,West,Coaches,6,10,82,1989.0,2.0,9.0
Clyde Drexler,SG,210,Houston Rockets,United States,1996,West,Fans,6,7,79,1983.0,1.0,14.0
Clyde Drexler,SG,210,Houston Rockets,United States,1997,West,Coaches,6,7,79,1983.0,1.0,14.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1986,West,Coaches,6,7,79,1983.0,1.0,14.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1988,West,Coaches,6,7,79,1983.0,1.0,14.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1989,West,Coaches,6,7,79,1983.0,1.0,14.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1990,West,Coaches,6,7,79,1983.0,1.0,14.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1991,West,Coaches,6,7,79,1983.0,1.0,14.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1992,West,Fans,6,7,79,1983.0,1.0,14.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1993,West,Fans,6,7,79,1983.0,1.0,14.0
Clyde Drexler,SG,210,Portland Trail Blazers,United States,1994,West,Fans,6,7,79,1983.0,1.0,14.0
Dale Davis,C-F,252,Indiana Pacers,United States,2000,East,Coaches,6,11,83,1991.0,1.0,13.0
Dale Ellis,GF,205,Seattle SuperSonics,United States,1989,West,Fans,6,7,79,1983.0,1.0,9.0
Dan Majerle,SG,215,Phoenix Suns,United States,1992,West,Coaches,6,6,78,1988.0,1.0,14.0
Dan Majerle,SG,215,Phoenix Suns,United States,1993,West,Coaches,6,6,78,1988.0,1.0,14.0
Dan Majerle,SG,215,Phoenix Suns,United States,1995,West,Fans,6,6,78,1988.0,1.0,14.0
Dan Roundfield,PF,205,Atlanta Hawks,United States,1980,East,Coaches,6,8,80,1975.0,2.0,10.0
Dan Roundfield,PF,205,Atlanta Hawks,United States,1981,East,Fans,6,8,80,1975.0,2.0,10.0
Dan Roundfield,PF,205,Atlanta Hawks,United States,1982,East,Coaches,6,8,80,1975.0,2.0,10.0
Dana Barros,PG,165,Philadelphia Sixers,United States,1995,East,Coaches,5,11,71,1989.0,1.0,16.0
Danny Ainge,G,175,Boston Celtics,United States,1988,East,Coaches,6,4,76,1981.0,2.0,8.0
Danny Granger,GF,222,Indiana Pacers,United States,2009,East,Coaches,6,9,81,2005.0,1.0,17.0
Danny Manning,F,230,Los Angeles Clippers,United States,1993,West,Coaches,6,10,82,1988.0,1.0,1.0
Danny Manning,F,230,Los Angeles Clippers,United States,1994,West,Coaches,6,10,82,1988.0,1.0,1.0
Dave Cowens,FC,230,Boston Celtics,United States,1980,East,Coaches,6,9,81,1970.0,1.0,4.0
David Lee,FC,245,New York Knicks,United States,2010,Eastern,Replacement,6,9,81,2005.0,1.0,30.0
David Robinson,C,250,San Antonio Spurs,United States,1990,West,Coaches,7,1,85,1987.0,1.0,1.0
David Robinson,C,250,San Antonio Spurs,United States,1991,West,Fans,7,1,85,1987.0,1.0,1.0
David Robinson,C,250,San Antonio Spurs,United States,1992,West,Fans,7,1,85,1987.0,1.0,1.0
David Robinson,C,250,San Antonio Spurs,United States,1993,West,Fans,7,1,85,1987.0,1.0,1.0
David Robinson,C,250,San Antonio Spurs,United States,1994,West,Coaches,7,1,85,1987.0,1.0,1.0
David Robinson,C,250,San Antonio Spurs,United States,1995,West,Coaches,7,1,85,1987.0,1.0,1.0
David Robinson,C,250,San Antonio Spurs,United States,1996,West,Coaches,7,1,85,1987.0,1.0,1.0
David Robinson,C,250,San Antonio Spurs,United States,1998,West,Coaches,7,1,85,1987.0,1.0,1.0
David Robinson,C,250,San Antonio Spurs,United States,2000,West,Coaches,7,1,85,1987.0,1.0,1.0
David Robinson,C,250,San Antonio Spurs,United States,2001,West,Coaches,7,1,85,1987.0,1.0,1.0
David Thompson,GF,195,Seattle SuperSonics,United States,1983,West,Fans,6,5,77,1975.0,1.0,1.0
David West,PF,250,New Orleans Hornets,United States,2008,West,Coaches,6,9,81,2003.0,1.0,18.0
David West,PF,250,New Orleans Hornets,United States,2009,West,Coaches,6,9,81,2003.0,1.0,18.0
Dennis Johnson,PG,185,Boston Celtics,United States,1985,East,Coaches,6,4,76,1976.0,2.0,12.0
Dennis Johnson,PG,185,Phoenix Suns,United States,1981,West,Coaches,6,4,76,1976.0,2.0,12.0
Dennis Johnson,PG,185,Phoenix Suns,United States,1982,West,Coaches,6,4,76,1976.0,2.0,12.0
Dennis Johnson,PG,185,Seattle SuperSonics,United States,1980,West,Coaches,6,4,76,1976.0,2.0,12.0
Dennis Rodman,PF,210,Detroit Pistons,United States,1990,East,Coaches,6,7,79,1986.0,2.0,3.0
Dennis Rodman,PF,210,Detroit Pistons,United States,1992,East,Coaches,6,7,79,1986.0,2.0,3.0
Deron Williams,PG,200,Utah Jazz,United States,2010,West,Coaches,6,3,75,2005.0,1.0,3.0
Derrick Coleman,FC,230,New Jersey Nets,United States,1994,East,Fans,6,10,82,1990.0,1.0,1.0
Derrick Rose,PG,200,Chicago Bulls,United States,2010,East,Coaches,6,3,75,2008.0,1.0,1.0
Detlef Schrempf,SF,214,Indiana Pacers,Germany United States,1993,East,Coaches,6,9,81,1985.0,1.0,8.0
Detlef Schrempf,SF,214,Seattle SuperSonics,Germany United States,1995,West,Coaches,6,9,81,1985.0,1.0,8.0
Detlef Schrempf,SF,214,Seattle SuperSonics,Germany United States,1997,Western,Replacement,6,9,81,1985.0,1.0,8.0
Devin Harris,G,185,New Jersey Nets,United States,2009,East,Coaches,6,3,75,2004.0,1.0,5.0
Dikembe Mutombo,C,260,Atlanta Hawks,Democratic Republic of the Congo,1997,East,Coaches,7,2,86,1991.0,1.0,4.0
Dikembe Mutombo,C,260,Atlanta Hawks,Democratic Republic of the Congo,1998,East,Fans,7,2,86,1991.0,1.0,4.0
Dikembe Mutombo,C,260,Atlanta Hawks,Democratic Republic of the Congo,2000,East,Coaches,7,2,86,1991.0,1.0,4.0
Dikembe Mutombo,C,260,Atlanta Hawks,Democratic Republic of the Congo,2001,Eastern,Replacement,7,2,86,1991.0,1.0,4.0
Dikembe Mutombo,C,260,Denver Nuggets,Democratic Republic of the Congo,1992,West,Coaches,7,2,86,1991.0,1.0,4.0
